
2026-09-03T13:34:05.396Z [INFO ] apihub key crypto: electron safeStorage injected
2026-09-03T13:34:05.398Z [INFO ] autostart applied from settings login_autostart=0
2026-09-03T13:34:05.399Z [INFO ] gateway registered on "devhub:invoke" with 68 channels
2026-09-03T13:34:05.504Z [INFO ] tray icon loaded: F:\Active_Project\DevHub\resources\tray.png
2026-09-03T13:34:05.534Z [INFO ] tray created (resident mode: closing the window hides it, docs/12 §10)
2026-09-03T13:34:05.554Z [INFO ] gateway: listening on 127.0.0.1:8746 (settings gateway_port=8746)
2026-09-03T13:34:23.230Z [INFO ] gateway: GET /v1/health from 127.0.0.1 -> 200
2026-09-03T13:34:42.761Z [INFO ] gateway: POST /v1/pairing/create from 127.0.0.1 -> 201
2026-09-03T13:36:07.590Z [INFO ] gateway: GET /v1/health from 127.0.0.1 -> 200
2026-09-03T13:37:03.896Z [INFO ] gateway: POST /v1/pairing/claim from 127.0.0.1 -> 200
2026-09-03T13:41:11.762Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:14.033Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:16.069Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:18.103Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:20.134Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:22.181Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:24.223Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:26.255Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:28.288Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:30.327Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:32.364Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:34.396Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:36.429Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:38.471Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:40.505Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:42.535Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:44.566Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:46.603Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:48.635Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:50.667Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:52.699Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:54.736Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:56.769Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:41:58.800Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:42:00.830Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:42:02.865Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
