

DevTools listening on ws://127.0.0.1:9222/devtools/browser/843c0f49-ea5b-4a33-938c-b1387bfafbfa
2026-09-03T17:23:20.012Z [INFO ] apihub key crypto: electron safeStorage injected
2026-09-03T17:23:20.014Z [INFO ] autostart applied from settings login_autostart=0
2026-09-03T17:23:20.015Z [INFO ] gateway registered on "devhub:invoke" with 68 channels
2026-09-03T17:23:20.049Z [INFO ] tray icon loaded: F:\Active_Project\DevHub-wt1\resources\tray.png
2026-09-03T17:23:20.063Z [INFO ] tray created (resident mode: closing the window hides it, docs/12 §10)
2026-09-03T17:23:20.079Z [INFO ] gateway: listening on 127.0.0.1:8750 (settings gateway_port=8750)
2026-09-03T17:23:23.782Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:25.812Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:27.841Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:29.869Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:31.909Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:33.941Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:35.970Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:38.001Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:40.029Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:42.068Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:44.096Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:46.122Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:48.154Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:50.181Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:52.217Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:54.254Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:56.283Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:23:58.311Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:00.341Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:02.381Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:04.409Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:06.436Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:08.464Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:10.492Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:12.532Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:14.561Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:17.358Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:19.398Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:21.443Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:23.472Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:25.500Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:27.527Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:29.556Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:31.592Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:33.621Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:35.653Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:37.681Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:39.708Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:41.746Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:43.774Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:45.803Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:47.832Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:49.861Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:51.902Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:53.929Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:55.957Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:24:57.984Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:00.026Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:02.070Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:04.107Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:06.134Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:08.162Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:10.189Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:12.225Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:14.254Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:16.282Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:18.312Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:20.336Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:22.371Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:24.402Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:26.430Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
